ts_utc,node_id,node_label,zone,pm1_ug_m3,pm25_ug_m3,pm10_ug_m3,pm25_nowcast,co_ppm,co2_ppm,no2_ppb,temperature_c,humidity_pct,wind_speed_ms,wind_direction,pressure_hpa,rain_mm,wind_chill_c,aqi,aqi_pm25,aqi_pm10,aqi_co,aqi_nowcast,aqi_category,health_risk_score,event_active,event_type
2026-03-04T12:56:48.619338+00:00,N4_Kirtipur,Kirtipur - TU Campus,peri_urban,24.8,36.9,83.9,40.3,1.49,484.3,9.4,22.3,57.1,2.7,179.0,909.2,0.0,22.3,104,104,65,17,113,Unhealthy for Sensitive Groups,12.5,0,waste_burning
2026-03-04T12:56:49.436424+00:00,N5_Tokha,Tokha - Rural Rim,rural,12.5,19.9,63.7,20.6,0.85,440.4,11.3,18.5,66.2,3.22,251.9,906.8,0.0,18.5,71,71,55,10,72,Moderate,9.4,0,waste_burning
2026-03-04T12:57:05.259054+00:00,KTM-AQ-Node-01,Kathmandu - Ratna Park,urban_core,61.8,100.3,106.1,114.2,3.37,564.6,38.9,21.5,56.3,3.91,15.1,910.0,0.0,21.5,182,182,76,38,192,Unhealthy,23.0,0,traffic_jam
2026-03-04T12:57:06.053678+00:00,N2_Bhaktapur,Bhaktapur - Durbar Square,semi_urban_industrial,57.3,90.8,176.9,88.8,3.15,543.5,26.8,20.2,46.7,2.14,234.5,911.5,0.0,20.2,176,176,112,36,174,Unhealthy,22.7,0,brick_kiln
2026-03-04T12:57:06.944889+00:00,N3_Lalitpur,Lalitpur - Lagankhel,suburban,61.2,90.3,102.9,78.2,2.31,506.1,22.3,21.9,61.0,1.66,3.1,907.8,0.0,21.9,175,175,75,26,167,Unhealthy,20.3,0,festival
2026-03-04T12:57:07.740433+00:00,N4_Kirtipur,Kirtipur - TU Campus,peri_urban,31.3,50.9,100.6,45.6,1.95,486.5,19.7,22.9,55.1,1.43,350.8,912.7,0.0,22.9,139,139,74,22,126,Unhealthy for Sensitive Groups,16.9,0,waste_burning
2026-03-04T12:57:08.581808+00:00,N5_Tokha,Tokha - Rural Rim,rural,9.7,15.1,66.7,18.5,1.27,445.5,5.8,19.7,61.9,3.42,65.9,911.9,0.0,19.7,62,62,57,14,69,Moderate,8.4,0,waste_burning
2026-03-04T12:57:24.409697+00:00,KTM-AQ-Node-01,Kathmandu - Ratna Park,urban_core,75.5,121.4,125.5,116.2,3.51,569.2,39.8,21.2,53.4,1.37,106.2,907.5,0.0,21.2,197,197,86,40,194,Unhealthy,24.8,0,traffic_jam
2026-03-04T12:57:25.274721+00:00,N2_Bhaktapur,Bhaktapur - Durbar Square,semi_urban_industrial,225.4,405.6,648.6,248.0,15.33,546.5,50.1,20.5,52.7,2.64,210.1,908.7,0.0,20.5,500,500,500,199,346,Hazardous,73.0,1,waste_burning
2026-03-04T12:57:26.094389+00:00,N3_Lalitpur,Lalitpur - Lagankhel,suburban,54.6,89.4,135.5,83.7,2.45,494.8,15.4,22.2,57.6,0.74,247.5,909.8,0.0,22.2,175,175,91,28,171,Unhealthy,20.3,0,festival
2026-03-04T12:57:27.003293+00:00,N4_Kirtipur,Kirtipur - TU Campus,peri_urban,26.6,39.4,87.8,42.5,1.35,472.0,20.8,23.0,62.4,1.96,161.9,907.7,0.0,23.0,111,111,67,15,118,Unhealthy for Sensitive Groups,14.2,0,waste_burning
2026-03-04T12:57:27.836358+00:00,N5_Tokha,Tokha - Rural Rim,rural,12.7,22.0,88.8,19.9,0.98,436.3,18.3,20.6,64.8,1.39,149.9,911.0,0.0,20.6,75,75,68,11,71,Moderate,11.0,0,waste_burning
2026-03-04T12:57:43.663669+00:00,KTM-AQ-Node-01,Kathmandu - Ratna Park,urban_core,80.7,129.9,143.9,120.1,4.09,569.0,39.9,20.8,48.1,1.74,292.5,909.4,0.0,20.8,205,205,95,46,196,Very Unhealthy,26.0,0,traffic_jam
2026-03-04T12:57:44.524674+00:00,N2_Bhaktapur,Bhaktapur - Durbar Square,semi_urban_industrial,239.7,391.7,652.3,319.9,14.95,535.4,47.0,20.0,45.4,2.8,67.4,911.1,0.0,20.0,500,500,500,192,489,Hazardous,72.4,1,waste_burning
2026-03-04T12:57:45.360253+00:00,N3_Lalitpur,Lalitpur - Lagankhel,suburban,57.2,90.6,140.5,87.1,2.71,493.9,18.1,21.9,56.5,0.92,109.8,910.5,0.0,21.9,176,176,93,31,173,Unhealthy,20.8,0,festival
2026-03-04T12:57:46.164047+00:00,N4_Kirtipur,Kirtipur - TU Campus,peri_urban,30.9,51.6,102.5,47.1,1.45,475.3,13.6,22.1,59.8,1.65,358.3,911.0,0.0,22.1,141,141,75,16,130,Unhealthy for Sensitive Groups,16.3,0,waste_burning
2026-03-04T12:57:47.015788+00:00,N5_Tokha,Tokha - Rural Rim,rural,15.5,25.3,62.6,22.1,1.2,459.9,14.7,19.3,66.8,3.09,23.8,909.0,0.0,19.3,81,81,55,14,75,Moderate,10.7,0,waste_burning
2026-03-04T12:58:02.825925+00:00,KTM-AQ-Node-01,Kathmandu - Ratna Park,urban_core,72.9,121.6,146.7,120.4,3.99,580.2,44.0,20.6,57.9,2.85,145.4,911.7,0.0,20.6,197,197,96,45,196,Unhealthy,25.8,0,traffic_jam
2026-03-04T12:58:03.677356+00:00,N2_Bhaktapur,Bhaktapur - Durbar Square,semi_urban_industrial,251.7,440.3,707.9,380.1,15.32,528.7,41.9,20.6,48.5,1.76,51.5,910.7,0.0,20.6,500,500,500,199,500,Hazardous,72.2,1,waste_burning
2026-03-04T12:58:04.505985+00:00,N3_Lalitpur,Lalitpur - Lagankhel,suburban,37.1,57.3,83.9,72.5,2.38,491.5,13.5,22.2,54.5,4.71,42.3,910.5,0.0,22.2,152,152,65,27,163,Unhealthy,17.2,0,festival
